Name,Age,Team,League,Games_Played,Plate_Appearances,At_Bats,Hits,Home_Runs,RBIs,Walks,Strike_Outs,Batting_Average,Onbase_Percentage,Slugging
Carlos Santana,37,MIL,NL,52,226,205,51,11,33,20,35,0.249,0.314,0.459
Alan Trejo,27,COL,NL,82,227,207,48,4,26,16,51,0.232,0.288,0.343
Pavin Smith,27,ARI,NL,69,228,191,36,7,30,35,45,0.188,0.317,0.325
Gio Urshela,31,LAA,AL,62,228,214,64,2,24,10,36,0.299,0.329,0.374
Jordan Westburg,24,BAL,AL,68,228,208,54,3,23,16,56,0.26,0.311,0.404
Mitch Haniger,32,SFG,NL,61,229,211,44,6,28,15,65,0.209,0.266,0.365
Bo Naylor,23,CLE,AL,67,230,198,47,11,32,30,53,0.237,0.339,0.47
Josh Smith,25,TEX,AL,90,232,195,36,6,15,25,55,0.185,0.304,0.328
Mark Vientos,23,NYM,NL,65,233,218,46,9,22,10,71,0.211,0.253,0.367
Freddy Fermin,28,KCR,AL,70,235,217,61,9,32,13,50,0.281,0.321,0.461
Aaron Hicks,33,BAL,AL,65,236,200,55,7,31,35,49,0.275,0.381,0.425
Matt Carpenter,37,SDP,NL,76,237,188,33,5,31,41,67,0.176,0.322,0.319
Evan Longoria,37,ARI,NL,74,237,211,47,11,28,23,73,0.223,0.295,0.422
Royce Lewis,24,MIN,AL,58,239,217,67,15,52,20,55,0.309,0.372,0.548
Christian Encarnacion-Strand,23,CIN,NL,63,241,222,60,13,37,14,69,0.27,0.328,0.477
Andrew Knizner,28,STL,NL,70,241,224,54,10,31,12,62,0.241,0.288,0.424
Joey Votto,39,CIN,NL,65,242,208,42,14,38,27,62,0.202,0.314,0.433
Rob Refsnyder,32,BOS,AL,89,243,202,50,1,28,33,47,0.248,0.365,0.317
Tyrone Taylor,29,MIL,NL,81,243,231,54,10,35,8,55,0.234,0.267,0.446
Ramón Laureano,28,OAK,AL,64,246,225,48,6,21,17,73,0.213,0.28,0.364
Mike Moustakas,34,LAA,AL,65,250,237,56,8,31,6,61,0.236,0.256,0.371
