name,album,Attribute,Value
Stay Stay Stay,Red,duration_ms,204826
Stay Stay Stay,Red,popularity,39
Stay Stay Stay,Red,tempo,99.981
The Last Time,Red,danceability,0.505
The Last Time,Red,duration_ms,298293
The Last Time,Red,popularity,38
The Last Time,Red,tempo,94.069
The Lucky One,Red,danceability,0.706
The Lucky One,Red,duration_ms,240133
The Lucky One,Red,popularity,36
The Lucky One,Red,tempo,117.937
Treacherous,Red,danceability,0.705
Treacherous,Red,duration_ms,240773
Treacherous,Red,popularity,38
Treacherous,Red,tempo,109.993
We Are Never Ever Getting Back Together,Red,danceability,0.628
We Are Never Ever Getting Back Together,Red,duration_ms,191880
We Are Never Ever Getting Back Together,Red,popularity,59
We Are Never Ever Getting Back Together,Red,tempo,85.984
...Ready For It?,reputation,danceability,0.613
...Ready For It?,reputation,duration_ms,208186
...Ready For It?,reputation,popularity,82
...Ready For It?,reputation,tempo,160.015
Call It What You Want,reputation,danceability,0.598
Call It What You Want,reputation,duration_ms,203506
Call It What You Want,reputation,popularity,75
Call It What You Want,reputation,tempo,163.954
Dancing With Our Hands Tied,reputation,danceability,0.624
Dancing With Our Hands Tied,reputation,duration_ms,211506
Dancing With Our Hands Tied,reputation,popularity,72
Dancing With Our Hands Tied,reputation,tempo,160.024
Delicate,reputation,danceability,0.75
Delicate,reputation,duration_ms,232253
Delicate,reputation,popularity,81
Delicate,reputation,tempo,95.045
Don’t Blame Me,reputation,danceability,0.615
Don’t Blame Me,reputation,duration_ms,236413
Don’t Blame Me,reputation,popularity,85
Don’t Blame Me,reputation,tempo,135.917
Dress,reputation,danceability,0.719
Dress,reputation,duration_ms,230373
Dress,reputation,popularity,75
Dress,reputation,tempo,120.085
End Game,reputation,danceability,0.649
End Game,reputation,duration_ms,244826
End Game,reputation,popularity,74
End Game,reputation,tempo,159.073
Getaway Car,reputation,danceability,0.562
Getaway Car,reputation,duration_ms,233626
Getaway Car,reputation,popularity,79
Getaway Car,reputation,tempo,172.054
Gorgeous,reputation,danceability,0.8
Gorgeous,reputation,duration_ms,209680
Gorgeous,reputation,popularity,76
Gorgeous,reputation,tempo,92.027
I Did Something Bad,reputation,danceability,0.696
I Did Something Bad,reputation,duration_ms,238253
I Did Something Bad,reputation,popularity,75
I Did Something Bad,reputation,tempo,82.989
King Of My Heart,reputation,danceability,0.675
King Of My Heart,reputation,duration_ms,214320
King Of My Heart,reputation,popularity,72
King Of My Heart,reputation,tempo,110.01
Look What You Made Me Do,reputation,danceability,0.766
Look What You Made Me Do,reputation,duration_ms,211853
Look What You Made Me Do,reputation,popularity,81
Look What You Made Me Do,reputation,tempo,128.07
New Year’s Day,reputation,danceability,0.661
New Year’s Day,reputation,duration_ms,235466
New Year’s Day,reputation,popularity,70
New Year’s Day,reputation,tempo,94.922
So It Goes...,reputation,danceability,0.574
So It Goes...,reputation,duration_ms,227906
So It Goes...,reputation,popularity,69
So It Goes...,reputation,tempo,74.957
This Is Why We Can't Have Nice Things,reputation,danceability,0.567
